H1	01	1	2	4	
H1	01	2	3	5	
H1	01	3	6		
H1	02 	4	1	7	
H1	02	5	2	4	8
H1	02	6	5	9	
H1	03	7	8	10	
H1	03	8	5	9	11
H1	03	9	6	12	
H1	03	10	7	13	
H1	04	11	8	10	14
H1	04	12	9	11	
H1	04	13	10	14	
H1	05	14	11	17	
H1	05	16	13	19	
H1	06	17	14	16	20
H1	06	19	16	20	
H1	07	20	17	2H3	
H2	01	1	2	4	
H2	01	2	3	5	
H2	01	3	6		
H2	02 	4	1	7	
H2	02	5	2	4	8
H2	02	6	5	4H3	
H2	03	7	4	8	10
H2	03	8	5	9	11
H2	03	9	6	12	
H2	03	10	7	13	
H2	04	11	8	10	14
H2	04	12	9	11	15
H2	04	13	10	14	16
H2	05	14	11	15	17
H2	05	15	12	18	13H3
H2	05	16	13	19	
H2	06	17	14	16	20
H2	06	18	15	17	21
H2	06	19	16	20	
H2	07	20	17	21	2H4
H2	07	21	18		
H3	01	1	2	4	
H3	01	2	3	5	20H1
H3	01	3	6		
H3	02 	4	1	7	6H2
H3	02	5	2	4	8
H3	02	6	9	5	
H3	03	7	4	8	10
H3	03	8	5	9	11
H3	03	9	6	12	
H3	03	10	7	11	13
H3	04	11	8	10	14
H3	04	12	9	11	15
H3	04	13	10	14	15
H3	05	14	11	15	17
H3	05	15	12	18	
H3	05	16	13	19	
H3	06	17	14	16	18
H3	06	18	15	21	
H3	06	19	16	20	
H3	07	20	17	21	2H5
H3	07	21	18		
H4	01	1	2	4	
H4	01	2	3	5	20H2
H4	01	3	6		
H4	02 	4	1	7	
H4	02	5	2	4	8
H4	02	6	5	4H5	
H4	03	7	4	8	10
H4	03	8	5	9	11
H4	03	9	6	12	
H4	03	10	7	13	
H4	04	11	8	10	14
H4	04	12	9	11	15
H4	04	13	10	14	16
H4	05	14	11	15	17
H4	05	15	12	18	13H5
H4	05	16	13	19	
H4	06	17	14	16	20
H4	06	18	15	17	21
H4	06	19	16	20	
H4	07	20	17	21	
H4	07	21	18		
H5	01	1	2	4	
H5	01	2	3	5	20H3
H5	01	3	6		
H5	02 	4	1	7	6H4
H5	02	5	2	4	8
H5	02	6	5	9	
H5	03	7	8	10	
H5	03	8	5	9	11
H5	03	9	6	12	
H5	03	10	7	13	
H5	04	11	8	10	14
H5	04	12	9	11	
H5	04	13	10	14	15H4
H5	05	14	11	17	
H5	05	16	13	19	
H5	06	17	14	16	20
H5	06	19	16	20	
H5	07	20	17		
